,maxtempC,mintempC,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,humidity,pressure,tempC,visibility,winddirDegree,windspeedKmph
0,22.0,9.0,4.25,14.916666666666666,15.416666666666666,14.916666666666666,16.458333333333332,49.875,1016.2083333333334,12.833333333333334,10.0,312.6666666666667,10.5
1,22.0,5.0,7.75,16.583333333333332,16.666666666666668,16.583333333333332,6.25,59.625,1016.75,11.875,10.0,275.3333333333333,3.4166666666666665
2,22.0,6.0,6.208333333333333,16.125,16.333333333333332,16.125,9.5,54.666666666666664,1016.7083333333334,12.416666666666666,10.0,102.45833333333333,5.125
3,20.0,8.0,4.583333333333333,15.458333333333334,16.041666666666668,15.458333333333334,11.75,48.0,1015.0416666666666,14.458333333333334,10.0,81.04166666666667,6.375
4,22.0,11.0,8.458333333333334,16.208333333333332,16.833333333333332,16.208333333333332,11.0,61.375,1014.6666666666666,14.708333333333334,10.0,172.75,6.25
5,22.0,8.0,9.125,16.208333333333332,16.75,16.208333333333332,10.291666666666666,64.91666666666667,1015.5416666666666,13.166666666666666,10.0,159.91666666666666,5.916666666666667
6,21.0,7.0,7.458333333333333,16.833333333333332,17.125,16.833333333333332,13.166666666666666,55.916666666666664,1018.2916666666666,13.333333333333334,10.0,297.6666666666667,7.75
7,22.0,5.0,6.958333333333333,16.541666666666668,16.583333333333332,16.541666666666668,9.25,56.583333333333336,1021.4166666666666,11.333333333333334,10.0,272.4583333333333,6.375
8,20.0,3.0,3.5416666666666665,14.416666666666666,14.583333333333334,14.416666666666666,9.5,50.375,1021.2083333333334,12.0,10.0,189.54166666666666,5.083333333333333
9,22.0,11.0,7.291666666666667,16.791666666666668,17.375,16.791666666666668,13.666666666666666,53.541666666666664,1020.2083333333334,14.875,10.0,305.625,7.875
10,21.0,7.0,6.333333333333333,15.375,15.916666666666666,15.375,13.208333333333334,56.958333333333336,1019.875,12.916666666666666,10.0,312.2083333333333,8.416666666666666
11,21.0,7.0,5.75,14.0,14.625,14.0,11.583333333333334,60.291666666666664,1021.25,11.5,10.0,263.4583333333333,6.791666666666667
12,21.0,4.0,5.833333333333333,14.791666666666666,15.25,14.791666666666666,12.166666666666666,56.791666666666664,1022.6666666666666,12.291666666666666,10.0,268.5416666666667,6.458333333333333
13,23.0,7.0,5.666666666666667,15.583333333333334,16.166666666666668,15.625,14.5,53.041666666666664,1021.7916666666666,13.25,10.0,315.7916666666667,8.458333333333334
14,23.0,6.0,4.833333333333333,16.791666666666668,16.875,16.833333333333332,12.375,47.541666666666664,1020.3333333333334,14.041666666666666,10.0,321.7083333333333,7.291666666666667
15,24.0,11.0,5.083333333333333,18.083333333333332,18.083333333333332,18.125,11.25,42.916666666666664,1019.2916666666666,16.666666666666668,10.0,209.08333333333334,6.125
16,21.0,12.0,9.666666666666666,16.958333333333332,17.166666666666668,16.958333333333332,13.625,64.75,1017.625,15.75,9.75,212.54166666666666,7.833333333333333
17,23.0,12.0,13.5,18.041666666666668,18.125,18.0,11.375,75.79166666666667,1016.6666666666666,16.958333333333332,10.0,167.08333333333334,6.333333333333333
18,23.0,12.0,11.666666666666666,17.25,17.833333333333332,17.166666666666668,20.458333333333332,71.125,1017.2083333333334,15.958333333333334,9.0,307.875,12.208333333333334
19,22.0,9.0,7.833333333333333,14.416666666666666,15.416666666666666,14.416666666666666,22.791666666666668,63.458333333333336,1016.75,14.0,10.0,298.6666666666667,14.0
20,20.0,10.0,3.0833333333333335,13.916666666666666,14.75,13.916666666666666,24.291666666666668,45.958333333333336,1015.4166666666666,14.041666666666666,10.0,299.2916666666667,14.541666666666666
21,23.0,11.0,2.6666666666666665,16.583333333333332,16.916666666666668,16.666666666666668,17.625,38.875,1014.7083333333334,15.833333333333334,10.0,308.9583333333333,10.083333333333334
22,25.0,13.0,3.2083333333333335,18.083333333333332,18.458333333333332,18.041666666666668,28.458333333333332,37.125,1013.625,17.708333333333332,10.0,306.375,16.083333333333332
