AT,PM2.5,RH,WS,CO,NO2,Ozone,SO2,AQI
13.8,302.2,52.57,0.44,2.67,144.32,15.09,12,440.1538462
14.18,361.68,48.47,0.53,3.8,131.05,24.64,18.09,485.9076923
13.1,274.34,53.86,0.75,4.05,117.15,14.74,8.68,418.7230769
13.02,330.41,52.78,0.57,3.27,146.57,13.94,15.93,461.8538462
14.13,521.26,53.3,0.32,3.27,181.95,13.98,16.72,608.6615385
12.9,534.98,60.5,0.46,2.6,144.9,14.81,13.28,619.2153846
14.71,380.23,52.34,0.38,4.52,146.5,23.88,15.56,500.1769231
15.62,418.47,56.24,0.58,4.35,132.76,40.53,14.59,529.5923077
15.33,412.89,58.26,0.61,4.05,134.3,23.56,9.99,525.3
13.52,291.95,62.09,0.39,3.57,107.19,23.56,5.81,432.2692308
14.92,241.67,56.11,1.15,4.49,85.87,23.91,6.63,393.5923077
14.63,191.85,63.14,0.68,3.6,88.34,29.75,5.15,355.2692308
14.86,197.84,61.97,0.53,2.16,111.34,20.6,7.88,359.8769231
14.94,152.66,58.04,0.71,1.88,97.46,17.27,7.22,325.1230769
15.02,155.26,51.77,0.97,2.07,103.86,14.29,8.46,327.1230769
15.13,205.47,51.59,0.48,2.76,125.18,13.72,10.76,365.7461538
14.6,350.48,54.06,0.51,3.35,128.36,18.13,17.93,477.2923077
15.49,445.31,55.07,0.63,3.74,151.62,26.24,14.58,550.2384615
16.83,312.21,55.01,0.61,3.99,119.43,24.22,10.23,447.8538462
14.72,93.93,43.82,1.28,2.38,89.64,11.91,7.31,213.1
12.85,145.29,47.21,0.9,2.97,104.95,10.34,9.28,319.4538462
13.44,326.42,53.71,0.59,3.14,128.16,12.71,13.75,458.7846154
14.96,408.33,53.48,0.4,2.67,117.88,11.55,12.42,521.7923077
14.96,264.69,54.28,0.51,2.354661,96.242136,10.34,11.02,411.3
16.72,345.16,50.38,0.37,4.5,182.92,14.14,13.44,473.2
19.31,400.89,51.9,0.4,3.27,200.35,53.03,18.28,516.0692308
17.19,169.11,60.96,2.28,1.57,96.81,15.22,7.33,337.7769231
14.74,56.68,74.58,1.44,4.96,66.75,17.42,5.76,137
15.1,166.89,68.07,0.49,2.354661,96.44,15.07,8.31,336.0692308
15.93,133.97,61.35,0.86,3.73,75.47,22.1,9.06,310.7461538
15.14,78.64,59.41,0.7,4.54,81.02,12.45,6.12,162.1333333
14.31,94.48,48.79,0.88,3.23,82.99,14.88,8.23,214.9333333
12.61,127.48,49.7,0.92,2.43,87.18,14.39,7.26,305.7538462
13.51,122.43,44.71,1.15,3.05,94.5,14.72,7.24,301.8692308
14.37,150.93,45.28,0.87,2.35,102.31,16.24,12.06,323.7923077
15.09,239.03,44.95,0.46,2.49,118.05,22.44,32.73,391.5615385
15.61,231.24,48.32,1.41,1.62,82.29,32.53,21.9,385.5692308
16.09,202.11,57.82,1.01,1.84,72.87,38.64,22.55,363.1615385
12.96,218.75,70.99,0.89,1.87,67.91,18.57,6.38,375.9615385
14.16,161.82,69.96,0.52,3.09,58.2,19.41,8.11,332.1692308
15.81,197.05,61.51,0.4,2.83,128.46,22.83,12.72,359.2692308
15.72,429.5,65.68,0.54,4.19,135.44,61.06,31.98,538.0769231
18.97,185.3,65.52,1.6,1.25,87.71,26.02,11.24,350.2307692
16.27,70.83,74.31,2.65,0.8,68.31,23.85,6.76,136.1
15.38,96.89,56.68,0.87,1.34,99.51,21.87,12.63,222.9666667
15.09,79.52,52.48,1.29,1.33,101.62,25.6,14.8,165.0666667
15.78,121.83,51.43,0.67,1.67,128.13,21.11,17.62,301.4076923
16.58,159.48,51.8,0.37,1.77,137.33,27.52,19.86,330.3692308
18.18,225.55,53.83,0.41,2.3,135.27,32.01,32.05,381.1923077
19.3,222.12,53.89,0.55,2.52,124.67,41.55,24.15,378.5538462
17.72,169.65,64.06,2.06,1.67,80.33,23.48,11.99,338.1923077
17.65,131.03,63.81,0.82,1.4,78.3,31.68,27.19,308.4846154
15.89,131.54,70.13,0.87,1.52,70.49,10.27,9,308.8769231
16.99,116.31,61.54,0.85,1.8,94.05,14.14,9.55,287.7
18.89,110.02,50.99,1.3,1.83,88.53,22.77,15.76,266.7333333
19.49,138.92,60.46,0.6,3.02,101.04,28.3,20.71,314.5538462
18.69,102.17,64.54,1.16,1.39,79.56,26.43,27.88,240.5666667
21.43,81.47,53.52,1.27,2.18,77.46,24.48,24.76,171.5666667
20.3,85.93,54.16,1.72,1.62,70.96,17.88,8.52,186.4333333
17.43,55.89,47.69,1.84,1.84,77.79,20.33,11.44,97.2375
18.9,84.85,43.49,0.78,2.15,102.27,15.77,15,182.8333333
17.71,116.28,51.32,0.82,1.58,103.97,21.6,26.1,287.6
15.6,70.24,55.71,1.24,1.08,73.72,28.49,20.78,134.1333333
13.41,94.97,64.72,0.59,1.06,70.26,12.98,15.42,216.5666667
16.12,129.23,51.6,1,1.84,91.9,13.98,16.75,307.1
18.12,99.01,45.26,0.68,1.45,102.33,12.58,16.55,230.0333333
16.06,117.66,58.86,0.62,1.48,101.77,13.56,24.98,292.2
16.89,71.49,68.03,0.92,1.44,67.83,22.01,16.02,138.3
19.45,117.36,64.48,0.87,1.45,85.69,20.32,11.74,291.2
18.96,71.04,55.37,1.03,2.33,81.45,11.56,11.02,136.8
19.73,96.88,48.78,0.9,2.05,87.8,8.49,12.42,222.9333333
20.75,119.33,46.14,0.53,1.72,108.4,9.04,14.71,297.7666667
21.39,133.31,45.15,0.59,1.9,98.09,10.25,20.32,310.2384615
21.54,80.83,43.03,1.13,1.33,76.35,12.15,16.05,169.4333333
22.1,77.09,36.64,0.68,1.6,90.53,21.71,16.14,156.9666667
22.75,89.49,39.71,1.88,2.4,74.32,30.66,24.68,198.3
22.51,60.35,42.66,0.95,2.31,64.5,15.35,14.46,103.875
20.83,112.45,42.94,0.43,3.67,79.23,17.01,24.77,274.8333333
19.18,144.6,51.82,1.12,3.79,62.27,10.69,22.46,318.9230769
20.67,74.93,47.99,0.99,1,71.7,15.99,19.25,149.7666667
21.76,70.14,42.1,1.02,1.89,78.2,18.31,13.48,133.8
23.05,96.2,39.79,0.74,3.45,91.18,17.05,15.81,220.6666667
23.49,112.42,40.39,0.69,2.69,105.15,16.72,18.45,274.7333333
25.6,159.31,37.04,0.66,1.63,103.66,12.14,20.81,330.2384615
26.9,132.17,33.52,1.35,2.5,84.65,24.06,23.56,309.3615385
26.35,329.25,35.79,0.62,2.21,51.2,38.68,23.03,460.9615385
25.04,35.63,31.14,1.64,1.53,62.16,25.34,14.95,77.7
24.98,69.23,34.12,1.99,2.16,62.47,31.94,15.41,130.7666667
26.09,57.34,35.29,1.22,1.72,67.35,20.53,23.47,95.56666667
24.54,73.02,43.76,1.2,1.15,66.6,12.19,20.6,143.4
25.03,72.42,40.67,1.19,1.74,77.71,16.31,18.91,141.4
26.4,80.28,36.81,0.84,2.07,90.8,18.12,17.66,167.6
28.62,158.64,38.01,0.46,2.58,92.62,23.36,27.67,329.7230769
30.73,187.6,40.96,0.49,1.93,105.13,19.81,21.77,352
32.27,153.15,36.63,0.54,2.24,80.4,33.74,32.04,325.5
30.02,59.08,29.55,1.77,1.83,56.85,24.66,20.63,98.46666667
28.81,53.22,29.41,1.61,1.35,74.25,25.83,16.14,92.8125
29.5,104.16,29.82,0.68,1.94,92.16,28.54,22,247.2
30.45,96.31,28.71,0.66,2.14,96.3,19.77,21.8,221.0333333
31.84,155.54,31.45,0.68,2.6,118.42,42.12,38.27,327.3384615
32.93,182.66,31.66,0.82,3.07,116.12,57.54,48.16,348.2
33.28,126.6,30.66,1.01,1.83,87.36,30.8,31.63,305.0769231
30.58,151.64,46.61,2.49,1.72,58.56,100.53,27.24,324.3384615
29.21,91.15,39.96,1.17,2.19,81.03,33.41,26.95,203.8333333
30.58,102.12,36.1,0.78,2.01,95.09,44.11,35.41,240.4
33.28,149.35,32.75,0.65,2.69,101.96,30.55,31.36,322.5769231
34.11,88.56,27.43,0.61,2.06,90.69,34.45,26.01,195.2
31.87,83.48,32.51,0.95,1.81,85.73,22.71,25.84,178.2666667
32.87,69.25,28.44,1.3,1.86,73.64,26.38,24.81,130.8333333
33.3,51.41,27.28,1.39,1.8,73.74,24.75,20.38,92.175
35.13,59.67,24,1.17,2.38,88.42,22.57,18.37,108.42
26.33,57.91,45.36,2.56,2.28,51.56,32.09,12.06,103.5
23.85,28.19,34.08,1.99,1.79,51.97,27.99,9.88,89.5
26.15,56.27,2.5,0.73,1.97,75.18,40.25,17.75,98.5
28.89,82.42,2.5,0.7,1.97,93.38,34.29,19.46,174.7333333
30.86,106.17,2.5,0.55,2.08,128.15,45.3,22.16,253.9
33.07,122.11,2.5,0.77,2.85,125.11,34.51,22.47,301.6230769
33.89,143.57,2.5,0.73,3.1,114.37,60.07,53,318.1307692
35.95,128.3,2.5,0.76,2.74,130.95,39.8,35.45,306.3846154
35.07,112.82,2.5,1.28,1.84,91.99,32.76,18.61,276.0666667
34.79,94.85,2.5,1.33,2.59,78.82,56.16,19.53,216.1666667
35.75,110.46,2.5,0.82,2.19,118.4,38.67,34.89,268.2
36.32,64.02,2.5,1.97,1.77,87.62,43.15,19.62,113.4
36.26,66.28,2.5,1.55,2.06,89.39,42.02,21.9,120.9333333
37.06,84.86,2.5,0.68,2.28,104.33,40.5,31.41,182.8666667
37.58,118.26,2.5,1.12,2.14,99.78,64.67,37.39,294.2
36.28,147.84,2.5,0.48,2.02,118.24,77.91,45.17,321.4153846
32.92,86.18,2.5,1.76,2.53,64,56.27,29.92,187.2666667
32.11,73.69,2.5,1.2,2.17,74.28,67,30.84,145.6333333
33.39,82.8,2.5,0.88,1.94,85.04,38.33,19.31,176
37.71,93.39,2.5,1.51,4.17,96.242136,65.69,23.52,211.3
35.77,131.64,2.5,1.31,1.82,144.84,47.43,22.23,308.9538462
39.28,129.28,2.5,1.32,3.22,85.72,43.26,21.88,307.1384615
36.96,297.86,2.5,1.16,2.41,83.52,34.12,21.27,436.8153846
37.16,200.22,2.5,1.08,2.77,76.88,20.72,17.62,361.7076923
36.95,162.39,2.5,1.12,1.44,81.54,31.82,15.98,332.6076923
35.31,151.4,2.5,1.07,1.94,97.84,48.81,19.89,324.1538462
34.62,220.74,2.5,1.43,1.48,91.47,42.99,16.7,377.4923077
34.44,231.29,2.5,1.01,1.72,98.6,44.2,35.61,385.6076923
31.89,88.56,2.5,0.6,1.83,88.95,32.24,17.14,195.2
30.18,119.8,2.53,1.09,1.63,76.43,33.65,38.54,299.3333333
31.29,81.9,2.5,1.04,1.8,126.17,32.66,22.8,173
29.72,86.85,2.54,1.08,1.67,92.68,29.76,17.41,189.5
28.76,44.74,2.51,1.11,1.95,99.02,20.23,9.7,119.02
33.2,79.23,2.5,0.94,2.354661,131.09,32.29,13.71,164.1
35.42,106.28,2.5,0.93,1.83,140.61,31.15,14.62,254.2666667
36.76,78.77,2.5,0.73,2.48,123.46,34.75,16.29,162.5666667
35.34,78.4,2.5,0.54,2.42,121.71,24.5,13.99,161.3333333
34.9,104.44,2.5,0.82,2.91,117.67,28.56,18.33,248.1333333
30.38,64.44,2.56,1.21,2.16,68.05,12.6,12.54,114.8
25.284656,39.74,2.5,1.74,1.72,75.91,20.21,10.06,94.8875
25.284656,53.52,2.5,1.13,1.94,107.15,31.99,14.02,127.15
25.284656,83.08,2.5,1.08,2.02,117.22,28.59,14.84,176.9333333
25.284656,69.32,2.5,1.14,2.2,121.73,31.98,18.07,141.73
25.284656,85.19,2.5,0.8,2.54,128.91,33.29,17.7,183.9666667
25.284656,94.48,2.51,0.86,2.85,123.56,29.84,18.46,214.9333333
25.284656,98.49,2.5,0.94,2.3,113.59,45.95,19.63,228.3
25.284656,113.05,2.5,1.7,1.98,88.76,33.22,28.22,276.8333333
25.284656,78.23,2.5,2.61,1.97,58.78,20.89,10.74,160.7666667
25.284656,67.74,2.5,3.49,1.81,41.61,20.14,8.17,125.8
25.284656,56.99,2.5,2.51,2.6,59.32,34.23,9.99,107.5
25.284656,75.75,2.5,1.25,1.89,68.19,29.7,16.23,152.5
25.284656,84.33,2.5,1.25,1.85,93.79,37.86,18.81,181.1
25.284656,61.43,2.5,1.28,1.93,75.49,41.71,10.92,104.7666667
39.65,87.26,11.09,0.71,2.56,120.68,31.37,16.31,190.8666667
36.01,137.4,31.68,0.58,2.62,141.52,54.12,31.8,313.3846154
39.39,101.17,32.24,0.64,2.34,132.17,35.71,16.69,237.2333333
39.25,125.11,22.36,0.91,2.65,109.68,24.67,15.67,303.9307692
37.89,73.93,38.31,2.69,2.27,55.07,29.53,12.8,146.4333333
37.32,62.07,37.16,0.9,2.78,82.08,37.32,12.5,109.75
38.71,58.38,31.86,1.14,1.98,99.21,38.04,12,119.21
39.08,89.36,29.39,1.24,1.95,113.31,39.31,17.36,197.8666667
32.9,46.55,42.18,1.85,1.59,59.04,28.4,7.47,79.5
31.39,51.95,43.06,1.35,2.99,91.61,23.73,6,112.375
27.42,40,53.1,1.21,3.36,92.25,29.59,8.24,117
31.58,117.86,47.58,0.97,2.15,89,42.95,9.75,292.8666667
33.23,54.58,44.94,1,1.93,77.6,40.6,8.94,97
35.34,79.38,43.07,0.81,2.1,89.3,24.59,9.12,164.6
36.87,74.72,38.12,1.08,2.27,95.98,45.13,9.83,149.0666667
34.41,35.38,46.68,2.7,1.46,40.42,25.47,7.99,73
30.54,21.83,53.85,2.5,2.17,45.12,11.93,6.76,102.125
34.12,46.09,48.32,0.86,1.95,70,33.41,7.25,97.5
37.4,74.18,42.81,0.73,2.22,96.51,29.17,8.09,147.2666667
36.47,70.92,40.7,1.14,2.5,96.64,19.25,9.6,136.4
37.35,65.36,38.35,1.35,2.87,83.2,14.2,7.21,117.8666667
39.28,67.65,35.78,1.11,1.84,82.46,13.16,7.1,125.5
39.01,80.72,37,1.27,1.62,75.64,24.93,12.69,169.0666667
37.61,89.83,40.01,0.79,1.9,75.17,25.99,8.97,199.4333333
36.23,88.68,43.67,1.31,2.12,67.64,26.85,8.3,195.6
35.03,36.94,47.24,1.81,1.64,40.6,6.91,7.77,82
31.1,46.75,57.87,1.14,2.16,38.43,14.86,6.87,102
29.8,80.53,60.06,1.09,2.37,52.91,5.74,7.24,168.4333333
32.09,30.78,54.23,1.76,1.71,38.06,5.51,7.85,85.5
33.01,49.01,53.1,0.76,2.64,59.7,10.5,8.29,108
33.73,60.39,51.58,1.2,1.94,64.1,7.78,7.76,101.3
31.21,46.42,55.78,0.95,2.61,53.2,11.21,7.09,107.625
33.96,80.77,53.01,1.12,2.21,60.19,13.14,6.72,169.2333333
35.63,82.64,47.32,1.2,2.02,61.88,12.13,7.56,175.4666667
35.04,87.02,50.05,1.31,1.32,46.92,17.17,8.36,190.0666667
36.86,80.02,44.03,1.67,2.94,49.62,27.15,7.67,166.7333333
33.52,63.97,47.61,1.31,1.52,50.18,25.84,8.59,113.2333333
27.96,40.3,60.08,1.31,2.03,39.65,25.91,7.57,100.375
27.59,31.49,60.29,1.25,2.42,50.98,55.52,8.5,105.25
26.72,41.43,65.48,0.48,1.69,51.01,29.71,7.44,84.5
27.3,40.53,63.83,0.35,1.84,72.68,8.54,9.01,92
31.78,76.91,55.34,0.68,1.98,66.29,15.46,7.07,156.3666667
30.5,56.3,59.86,0.69,1.47,46.77,33.29,9.02,93.83333333
29.96,67.69,63.19,0.73,2.72,52.01,26.47,9.15,125.6333333
31.08,71.85,61.74,0.56,3.26,49.83,27.35,7.7,139.5
33.88,87.73,55.95,0.43,3.72,61.64,23.83,9.23,192.4333333
32.71,70.31,55.93,0.78,2.04,88.85,27.56,7.9,134.3666667
28.12,25.33,63.23,0.69,1.23,57.98,24,6.27,72.475
27.34,26,66.86,1.04,0.92,39.01,40.06,6.54,48.7625
26.88,23.9,68.68,1.46,0.72,31.84,32.44,6.02,39.83333333
31.33,16,57.29,2.49,0.96,43.69,30.64,7.74,54.6125
31.12,24.02,57.2,2.23,1.04,36.5,25.22,7.33,52
30.36,29.07,58.92,1.53,1.4,40.77,27.59,8.07,70
31.12,28.8,56.78,1.81,1.31,38.84,19.07,8.11,65.5
31.78,33.04,55.28,1.46,0.71,44.29,17.68,7.65,55.3625
30.18,33.06,60.63,0.87,1.38,45.36,26.26,7.65,69
27.97,39.8,66.27,0.78,1.61,37.02,31.17,7.49,80.5
29.59,50.69,62.74,0.57,1.41,41.17,32.08,7.49,84.48333333
30.57,49.98,61.5,0.62,1.41,50.94,22.31,8.49,83.3
30.49,37.34,77.62,0.6,1.72,66.23,35.25,6.59,86
37.19,44.7,75.85,0.92,3.55,52.51,45.79,8.09,119.375
40.13,27.74,68.08,1.15,0.94,37.86,27.17,7.09,47.325
37.72,16.6,67.86,3.3,1.44,31.58,15.99,8.29,72
27.93,33,91.68,1.1,2.354661,96.242136,29.909302,18.878943,116.242136
31.4,30.8,75.95,1.13,2.354661,96.242136,29.909302,18.878943,116.242136
32.97,26.42,65.06,0.82,1.24,59.02,22.65,8.44,73.775
31.82,26.9,60.56,0.8,1.47,56.4,22.62,6.52,73.5
31.47,49.41,65.02,0.42,2.01,73.54,24.59,8.13,100.125
32.03,33.19,61.03,1.43,0.95,47.93,29.67,6.67,59.9125
30.93,17.62,61.47,2.33,1.33,31.77,18.98,7.91,66.5
29.15,9.42,69.76,2.26,1.14,24.69,18.07,6.54,57
29.42,20.17,68.35,0.49,1.47,44.31,21.91,6.82,73.5
32.27,52.45,59.38,0.37,1.63,58.1,25.1,4.91,87.41666667
32.67,53.27,57.71,0.74,1.51,50.84,25.08,6.9,88.78333333
33.28,64.88,54.95,0.59,2.17,63.15,15.96,5.64,116.2666667
31.68,67.15,58.46,0.43,1.59,67.35,13.48,7.43,123.8333333
32.48,68.53,57.39,0.36,1.57,78.36,14.09,7.53,128.4333333
31.17,85,63.76,0.35,1.77,78.5,14.69,7.25,183.3333333
30.05,39.15,65.52,0.49,0.99,50.04,12.85,7.14,65.25
31.89,27.08,59.25,0.96,0.82,46.3,13.7,8.03,57.875
33.4,45.62,54.91,0.62,1.56,58.62,22.31,10.44,78
34.22,38.39,52.93,0.91,1.06,56.59,18.17,9.13,70.7375
33.86,38.6,54.32,1.23,1.01,50.43,15.74,8.74,64.33333333
33.76,49.16,54.65,0.58,1.04,59.34,27.82,9.04,81.93333333
33.59,65.73,55.63,0.41,1.18,94.15,19.43,8.31,119.1
30.99,29.11,62.08,0.72,1.44,45.63,18.86,7.13,72
32.94,60.69,57.07,0.4,1.03,54.54,20.01,6.94,102.3
33.52,79,56,0.35,1.55,66.17,18.3,6.78,163.3333333
32.38,75.79,59.82,0.92,1.43,54.5,15.07,5.31,152.6333333
32.39,33.27,58.93,1.05,1.16,34.5,11.44,6.79,58
32.94,38.06,58.15,0.88,1.64,32.04,12.93,10.64,82
31.9,38.46,61.07,0.92,1.94,36.99,15.08,7.93,97
32.77,41.93,57.89,0.52,1.62,38.29,37.66,8.87,81
33.78,68.58,54.54,0.42,1.85,51.54,24.05,8.22,128.6
33.9,79.75,52.27,0.33,1.37,64.73,30.01,10.03,165.8333333
34.61,84.88,51.67,0.44,1.6,74.74,53.96,11.77,182.9333333
33.22,53.77,56.12,1.45,1.07,37.6,20.17,7.76,89.61666667
33.04,32.32,55.89,1.13,1.34,50.78,17.29,7.1,67
32.12,34.68,57.68,1.55,0.52,36.09,21.25,7.37,57.8
31.82,39.79,59.48,0.79,0.94,42.38,25.48,7.69,66.31666667
33.46,70.14,55.14,0.32,1.02,80.03,23.94,8.86,133.8
33.76,75.49,52.1,0.45,1.34,72.33,37.82,6.53,151.6333333
31.72,32.38,52.55,1.6,1.39,40.3,24.93,6.71,69.5
30.17,17.66,57.93,2,1.46,28.29,20.78,5.36,73
31.29,40.44,55.24,0.9,1.97,40.99,26.79,7.22,98.5
32.38,38.34,51.45,0.7,2.08,47.85,27.47,9.17,101
25.284656,26.99,49.300435,1.15,1.83,41.41,24.64,5.49,91.5
25.85,31.12,53.54,0.86,1.66,43.39,26.56,6.3,83
24.93,41.64,38.3,0.88,1.97,48.16,36.03,9.38,98.5
23.73,34.61,34.34,0.69,1.93,43.5,39.25,8.86,96.5
30.55,25.7,71.97,1.91,1.78,31.61,19.85,9.37,89
29.62,13.26,74.51,1.78,2.07,31.49,23.86,7.17,100.875
29.35,23.45,75.21,1.61,1.01,30.74,26.88,7.95,50.5
28.75,14.05,76.87,1.49,1.76,27.06,20.5,4.72,88
29.01,26.86,76.19,0.92,2.01,39.04,20.76,6.46,100.125
29.63,31.6,74.82,1.11,1.87,37.84,18.41,5.71,93.5
30.27,45.18,70.32,0.45,2.63,47.89,34.7,5.61,107.875
30.51,76.57,68.69,0.43,2.75,70.59,63.78,10.1,155.2333333
29.52,56.08,70.47,0.61,1.54,65.06,30.93,1.96,93.46666667
29.71,45.47,63.14,0.59,0.81,65.48,28.01,2.25,81.85
30.14,68.06,63.33,0.52,2.43,72.67,31.37,3.31,126.8666667
29.94,59.12,64.83,0.76,2.21,61.6,32.5,6.59,102.625
29.89,48.73,60.49,0.54,1.95,61.79,37.05,7.87,97.5
31.73,79.78,59.94,0.41,2.03,76.92,51.25,17.2,165.9333333
33.16,120.05,58.28,0.36,1.46,95.4,34.21,12.18,300.0384615
28.03,135.77,64.06,0.96,2.95,86.17,28.08,11.09,312.1307692
31.65,133.61,62.37,0.3,2.47,81.4,22.58,9.22,310.4692308
30.14,183.17,62.04,0.3,3.92,94.15,25.42,13.27,348.5923077
30.24,147.56,63.52,0.3,3.12,95.86,22.32,8.65,321.2
30.73,172.25,62.08,0.3,3.31,100.34,45.57,9.27,340.1923077
30.73,162.51,62.84,0.43,2.81,77.6,33.95,14.43,332.7
30.34,129.47,61.26,0.77,2.24,68.22,24.98,10.08,307.2846154
30.93,70,53.63,1.08,2.5,78.86,20.18,6.69,133.3333333
29.73,106.09,58.78,0.32,1.61,97.2,29.61,5.69,253.6333333
29.73,112.29,55.05,0.41,1.57,101.47,13.91,1.79,274.3
28.8,123.93,55.39,0.57,1.51,102.32,18.12,1.45,303.0230769
28.32,121.97,57.09,0.65,2.82,118.78,20.26,6.75,301.5153846
28.46,176.73,59.75,0.38,2.31,134.31,35.2,15.85,343.6384615
28.59,229.76,62,0.38,2.42,119.29,7.05,25.62,384.4307692
28.3,147.95,59.14,0.6,2.11,93.53,28.29,21.67,321.5
27.7,193.56,64.92,0.32,2.34,120.38,12.52,15.17,356.5846154
27.89,234.49,65.22,0.44,2.29,120.22,10.46,15.46,388.0692308
27.71,352.24,65.84,0.3,3.24,128.14,8.67,23.07,478.6461538
27.14,410.07,71.87,0.3,3.81,139.99,9.34,16.41,523.1307692
27.96,373.41,68.72,0.31,3.81,136.05,7.92,21.77,494.9307692
27.19,409.59,69.95,0.3,4.3,138.86,12.93,16.64,522.7615385
28.24,455.22,65.56,0.3,3.82,147.93,24.3,23.58,557.8615385
27.77,379.18,67.03,0.41,3.6,106.13,13.51,18.79,499.3692308
26.63,599.53,73.04,0.34,3.12,101.07,11.89,17.89,668.8692308
27.68,381.55,63.32,0.6,1,86.64,14.12,12.86,501.1923077
27.32,240.27,60.08,0.43,1.23,96.36,16.15,15.29,392.5153846
27.39,121.78,57.52,0.5,1.74,106.71,18.66,6.19,301.3692308
25.24,213.62,69,0.7,2.51,103.06,15.44,15.79,372.0153846
26.5,205.04,67.03,0.33,1.2,122.17,18.75,20.07,365.4153846
27.18,144.52,58.99,0.49,2.02,106.26,14.37,17.32,318.8615385
26.2,234.7,54.34,0.38,2.5,130.35,18,22.76,388.2307692
25.5,333.03,54.45,0.38,2.25,129.78,14.48,15.27,463.8692308
24.71,450.64,60.42,0.34,3.08,138.67,12.07,14.32,554.3384615
25.19,405.96,65.21,0.31,3.72,126.75,11.41,11.88,519.9692308
24.92,425.42,71.46,0.33,4.29,127.61,17.68,17.05,534.9384615
25.95,386.04,67.87,0.32,2.89,105.12,11.2,6.76,504.6461538
26.66,162.46,61.51,0.72,1.1,65.5,9.7,4.13,332.6615385
26.19,98.15,59.21,1.26,1.66,58.12,10.04,4.65,227.1666667
24.7,126.14,66.47,0.54,2.24,93.24,24.28,5.43,304.7230769
24.95,185.27,63.95,0.37,1.55,91.01,34.92,5.03,350.2076923
26.36,227.29,57.25,0.3,2.51,146.32,50.17,16.45,382.5307692
24.41,282.17,65.47,0.33,3.39,111.95,57.57,15.16,424.7461538
24.75,264.22,65.12,0.33,2.8,85.21,37.2,12.33,410.9384615
25.28,139.43,62.31,0.3,2.42,99.61,26.57,9.73,314.9461538
26.86,96.8,57.82,0.3,1.8,85.11,29.92,9.51,222.6666667
25.36,120.18,61.35,0.3,1.82,77.83,33.73,14.66,300.1384615
26.92,114.74,56.92,0.3,1.51,82.88,41.68,12.65,282.4666667
24.79,109.93,68.24,0.49,1.33,68.28,45,5.91,266.4333333
22.8,35.53,76.09,1.58,1.18,49.87,47.28,3.11,62.3375
23.13,57.01,76.25,0.37,1.61,63.98,37.1,6.46,95.01666667
24.04,112.25,70.63,0.5,2.42,101.85,30.29,5.99,274.1666667
22.42,135.8,69.79,0.49,1.98,105.15,30.7,10.33,312.1538462
21.78,158.7,69.02,0.48,2.29,101.57,36.79,4.62,329.7692308
21.59,167.5,66.5,0.45,3.24,108.48,41.54,9.86,336.5384615
21.44,207.24,66.6,0.3,3.25,117.31,42.75,5.7,367.1076923
21.23,319.23,72.88,0.3,3.91,124.9,55.78,6.44,453.2538462
22.01,252.17,77.83,0.31,2.69,102.63,38.13,7.55,401.6692308
21.16,302.58,82.9,0.31,3.54,102.48,50.03,12.32,440.4461538
21.95,297.56,75.74,0.32,4.08,127.06,43.55,6.12,436.5846154
21.61,242.44,72.82,0.32,2.82,115.66,42.6,9.46,394.1846154
21.72,292.69,71.87,0.31,3.13,126.69,44.18,9.62,432.8384615
22.87,340.33,66.6,0.51,3.22,135.3,76.37,12.35,469.4846154
21.86,303.67,73.51,1.73,2.09,136.26,61.72,10.15,441.2846154
21.06,102.1,84.96,1.73,1.22,149.93,62.05,8.78,240.3333333
25.284656,89,49.300435,1.147604,2.354661,96.242136,29.909302,18.878943,196.6666667
20.49,92.83,73.65,0.74,1.51,244.35,66.63,4.81,264.35
17.42,96.98,85.89,1,1.75,150.16,64.4,8.67,223.2666667
17.02,108.3,82.99,0.78,1.79,111.49,60.44,7.03,261
17.74,178.75,77.86,0.58,1.86,158.29,57.82,2.53,345.1923077
16.21,326.1,89.3,0.74,2.69,147.79,53.67,11.09,458.5384615
18.25,503.94,83.49,0.34,3.43,240.56,57.16,9.06,595.3384615
18.62,313.38,83.29,0.53,1.64,181.02,64.82,4.31,448.7538462
17.25,160.89,86.31,0.9,2.22,120.25,65.39,5.38,331.4538462
16.52,198.3,83.97,0.62,2.08,123.35,65.67,6.88,360.2307692
16.77,328.19,83.35,0.52,2.7,302.5,65.68,10.93,460.1461538
15.83,187.57,84.81,0.85,1.54,157.52,68.16,3.84,351.9769231
15.74,217.88,81.06,0.52,1.24,201.49,68.68,6.21,375.2923077
15.63,292.34,79.79,0.36,2.07,246.23,67.34,9.09,432.5692308
13.98,336.75,88.05,0.4,2.39,331.13,65.85,12.24,466.7307692
8.39,359.65,82.52,0.36,2.87,215.1,65.61,11.83,484.3461538
7.49,369.66,94.21,0.94,2.73,63.66,68.05,8.56,492.0461538
7.68,180.26,82.31,1.65,1.98,23.6,65.86,5.01,346.3538462
